url,registrable,text
https://bsnl.co.in/,bsnl.co.in,"https://bsnl.co.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: bsnl.co.in
URL: https://bsnl.co.in/
Registrable Domain: bsnl.co.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 19 chars, Entropy: 3.58
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📄 Page Content:
      External Links: 29

   🚩 Phishing Keywords Detected: secure

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:43:50.338837+00:00
   Processing Stage: rules:benign"
,bseindia.com," Domain: bseindia.com
Registrable Domain: bseindia.com

📡 DNS Records:
   A (IPv4): 184.86.112.83, 184.86.112.56
   AAAA (IPv6): 2600:140f:5::17c3:6918, 2600:140f:5::17c3:6919
   MX (Mail): bseindia-com.mail.protection.outlook.com
   NS (Nameservers): a1-223.akam.net, a14-66.akam.net, a20-67.akam.net, a3-66.akam.net, a4-65.akam.net, a7-64.akam.net

📋 WHOIS Information:
   Registrar: GoDaddy.com, LLC
   Domain Age: 10512 days
   Days Until Expiry: 78

🌍 Network & Location:
   ASN: 20940
   Country: IN, New D"
,finmin.nic.in," Domain: finmin.nic.in
Registrable Domain: finmin.nic.in

📊 Metadata:
   First Seen: 1760452943710"
,aai.aero," Domain: aai.aero
Registrable Domain: aai.aero

📡 DNS Records:
   A (IPv4): 104.21.72.58, 172.67.175.240
   AAAA (IPv6): 2606:4700:3034::ac43:aff0, 2606:4700:3034::6815:483a
   MX (Mail): mail1.aai.aero, mail.aai.aero
   NS (Nameservers): dale.ns.cloudflare.com, elma.ns.cloudflare.com

📋 WHOIS Information:
   Registrar: Tucows Domains Inc.
   Domain Age: 8573 days
   Days Until Expiry: 192

🌍 Network & Location:
   ASN: 13335

📊 Metadata:
   First Seen: 1760452937.7999337
   Processing Stage: resolved"
https://fssai.gov.in/,fssai.gov.in,"https://fssai.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: fssai.gov.in
URL: https://fssai.gov.in/
Registrable Domain: fssai.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 21 chars, Entropy: 3.65
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 596

   🚩 Phishing Keywords Detected: account, secure, verify, urgent

   ⚠️ JavaScr"
,goa.gov.in," Domain: goa.gov.in
Registrable Domain: goa.gov.in

📡 DNS Records:
   A (IPv4): 164.100.183.9
   MX (Mail): mx3.mgovcloud.in, mx2.mgovcloud.in, mx.mgovcloud.in
   NS (Nameservers): ns2.nic.in, ns7.nic.in, ns10.nic.in, ns1.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7762 days
   Days Until Expiry: 272

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452940.9072578
   Processing Stage: resolved"
,dgft.gov.in," Domain: dgft.gov.in
Registrable Domain: dgft.gov.in

📡 DNS Records:
   A (IPv4): 15.206.136.226, 15.206.119.170
   NS (Nameservers): ns1.dgft.gov.in, ns2.dgft.gov.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7526 days
   Days Until Expiry: 143

🌍 Network & Location:
   ASN: 16509
   Country: IN, Mumbai

📊 Metadata:
   First Seen: 1760452941.0666153
   Processing Stage: resolved"
https://haryana.gov.in/,haryana.gov.in,"https://haryana.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: haryana.gov.in
URL: https://haryana.gov.in/
Registrable Domain: haryana.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.76
      Subdomains: 1, Hyphens: 0, Special Chars: 0

📊 Metadata:
   First Seen: 2025-10-14T14:50:18.658788+00:00
   Processing Stage: rules:benign"
,bhel.com," Domain: bhel.com
Registrable Domain: bhel.com

📡 DNS Records:
   A (IPv4): 111.118.189.167
   NS (Nameservers): mailgw3.bhel.in, corpdrns1.bhel.in, corpns1.bhel.in

📋 WHOIS Information:
   Registrar: PDR Ltd. d/b/a PublicDomainRegistry.com
   Domain Age: 10319 days
   Days Until Expiry: 271

🌍 Network & Location:
   ASN: 55470
   Country: IN

📊 Metadata:
   First Seen: 1760452941.4674704
   Processing Stage: resolved"
,esic.nic.in," Domain: esic.nic.in
Registrable Domain: esic.nic.in

📡 DNS Records:
   A (IPv4): 164.100.77.202
   MX (Mail): mx2.mgovcloud.in, mx3.mgovcloud.in, mx.mgovcloud.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7599 days
   Days Until Expiry: 70

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452942.4476056
   Processing Stage: resolved"
